Date,Line,Rise,Set,RiseAzimuth,SetAzimuth,Meridian,Altitude,Distance,Illuminated,Phase,PhaseTime,PosAngle
2024-01-01,1,,10:49:22,,282.1,04:06:56,59.5,404868,75.0%,waninggibbous,,200.5
2024-01-01,2,22:13:40,,0.00,,,,,,,,
2024-01-02,1,,11:08:49,,274.8,04:46:33,53.9,404556,66.3%,waninggibbous,,202.5
2024-01-02,2,23:13:16,,0.00,,,,,,,,
2024-01-03,1,,11:27:43,,267.3,05:25:33,48.1,402925,56.9%,thirdquarter,22:30:27,203.2
2024-01-04,1,00:13:24,11:47:15,96.7,259.7,06:05:07,42.3,399968,47.1%,waningcrescent,,202.5
2024-01-05,1,01:15:20,12:08:44,104.4,252.4,06:46:33,36.6,395789,37.2%,waningcrescent,,200.5
2024-01-06,1,02:20:14,12:33:49,111.8,245.4,07:31:09,31.2,390609,27.6%,waningcrescent,,197.0
2024-01-07,1,03:28:39,13:04:41,118.5,239.2,08:20:11,26.5,384773,18.7%,waningcrescent,,191.7
2024-01-08,1,04:39:48,13:44:08,124.1,234.3,09:14:30,22.8,378729,10.9%,waningcrescent,,184.1
2024-01-09,1,05:50:43,14:35:04,127.7,231.6,10:13:59,20.6,373001,4.8%,waningcrescent,,173.2
2024-01-10,1,06:56:35,15:38:52,128.6,231.8,11:17:01,20.4,368126,1.1%,waningcrescent,,152.6
2024-01-11,1,07:53:02,16:53:26,126.5,235.0,12:20:44,22.2,364567,0.3%,newmoon,06:57:21,48.0
2024-01-12,1,08:38:44,18:13:31,121.6,240.9,13:22:11,26.0,362620,2.5%,waxingcrescent,,358.8
2024-01-13,1,09:15:13,19:33:57,114.6,248.8,14:19:39,31.4,362366,7.7%,waxingcrescent,,346.6
2024-01-14,1,09:45:06,20:51:56,106.2,257.8,15:12:57,37.9,363675,15.5%,waxingcrescent,,340.7
2024-01-15,1,10:10:55,22:07:04,97.3,267.2,16:03:00,44.9,366259,25.2%,waxingcrescent,,337.8
2024-01-16,1,10:34:45,23:20:10,88.2,276.5,16:51:08,51.9,369751,36.2%,waxingcrescent,,337.1
2024-01-17,1,10:58:24,,79.3,,17:38:50,58.7,373781,47.7%,firstquarter,22:52:32,338.4
2024-01-18,1,,00:32:22,,285.3,18:27:24,64.8,378028,59.0%,waxinggibbous,,341.4
2024-01-18,2,11:23:29,,0.00,,,,,,,,
2024-01-19,1,,01:44:22,,293.3,19:17:48,70.0,382254,69.7%,waxinggibbous,,346.1
2024-01-19,2,11:51:46,,0.00,,,,,,,,
2024-01-20,1,,02:55:58,,300.0,20:10:29,74.0,386307,79.2%,waxinggibbous,,352.4
2024-01-20,2,12:25:07,,0.00,,,,,,,,
2024-01-21,1,,04:05:33,,305.0,21:05:06,76.4,390104,87.1%,waxinggibbous,,0.1
2024-01-21,2,13:05:22,,0.00,,,,,,,,
2024-01-22,1,,05:10:20,,307.9,22:00:30,77.3,393609,93.2%,waxinggibbous,,9.5
2024-01-22,2,13:53:44,,0.00,,,,,,,,
2024-01-23,1,,06:07:21,,308.4,22:55:01,76.6,396802,97.4%,waxinggibbous,,22.0
2024-01-23,2,14:49:53,,0.00,,,,,,,,
2024-01-24,1,,06:55:03,,306.6,23:47:08,74.3,399650,99.5%,waxinggibbous,,50.7
